kanji,english,explanation,primitive
古,old,"The primitive elements that compose this character are _ten_ and _mouth_ , but you may find it easier to remember it as a pictograph of a tombstone with a cross on top. Just think back to one of those graveyards you have visited, or better still, used to play in as a child, with **old** inscriptions on the tombstones. This departure from the primitive elements in favor of a pictograph will take place now and again at these early stages, and almost never after that. So you need not worry about cluttering up your memory with too many character  ""drawings.""","* Used as a primitive element, this kanji keeps its key-word sense of _old_ , but care should be taken to make that abstract notion as graphic as possible."
吾,I,"There are actually a number of kanji for the word **I** , but the others tend to be more specific than this one. The key word here should be taken in the general psychological sense of the ""perceiving subject."" Now the one place in our bodies that all _five_ senses are concentrated in is the head, which has no less than _five mouths_ : 2 nostrils, 2 ears, and 1 mouth. Hence, _five mouths_ = **I**.",
冒,risk,"Remember when you were young and your mother told you never to look directly into the _sun_ for fear you might burn out your _eyes_? Probably you were foolish enough to **risk** a quick glance once or twice, but just as probably, you passed that bit of folk wisdom on to someone else as you grew older. Here, too, the kanji that has a _sun_ above and an _eye_ right below looking up at it has the meaning of **risk** (see frame 12).",
朋,companion,"The first **companion** that God made, as the Bible story goes, was Eve. Upon seeing her, Adam exclaimed,  "" _Flesh_ of my _flesh_! "" And that is precisely what this character says in so many strokes.",
明,bright,"Among nature's **bright** lights, there are two that the biblical myth has God set in the sky: the _sun_ to rule over the day and the _moon_ to rule the night. Each of them has come to represent one of the common connotations of this key word: the _sun_ , the **bright** insight of the clear thinker, and the _moon_ , the **bright** intuition of the poet and the seer (see frame 13).",
唱,chant,"This one is easy! You have one _mouth_ making no noise (the choirmaster) and two _mouths with wagging tongues_ (the minimum for a chorus). So think of the key word, **chant** , as monastery singing and the kanji is yours forever (see frame 11).",
晶,sparkle,"What else can the word **sparkle** suggest if not a diamond? And if you've ever held a diamond up to the light, you will have noticed how every facet of it becomes like a miniature _sun_. This kanji is a picture of a tiny _sun_ in three places (that is,  ""everywhere""), to give the sense of something that **sparkles** on all sides. Just like a diamond. In writing the primitive elements three times, note again how the rule for writing given in frame 4 holds true not only for the strokes in each individual element but also for the disposition of the elements in the character as a whole.",
品,goods,"As in the character for _sparkle_ , the triplication of a single element in this character indicates ""everywhere"" or ""heaps of."" When we think of **goods** in modern industrial society, we think of what has been mass- produced - that is to say, produced for the  ""masses"" of open _mouths_ waiting like fledglings in a nest to  ""consume"" whatever comes their way.",
呂,spine,This character is rather like a picture of two of the vertebrae in the **spine** linked by a single stroke.,
昌,prosperous,"What we mentioned in the previous two frames about 3 of something meaning ""everywhere"" or ""heaps of"" was not meant to be taken lightly. In this kanji we see _two suns_ , one atop the other, which, if we are not careful, is easily confused in memory with the _three suns_ of _sparkle_. Focus on the number this way: since we speak of **prosperous** times as _sunny_ , what could be more **prosperous** than a sky with _two suns_ in it? Just be sure to actually SEE them there.",
早,early,"This kanji is actually a picture of the first flower of the day, which we shall, in defiance of botanical science, call the _sun_ flower, since it begins with the element for _sun_ and is held upon a stem with leaves (the pictographic representation of the final two strokes). This time, however, we shall ignore the pictograph and imagine _sun_ flowers with _needles_ for stems, which can be plucked and used to darn your socks. The sense of **early** is easily remembered if one thinks of the _sun_ flower as the **early** riser in the garden, because the _sun_ , showing favoritism towards its namesake, shines on it before all the others (see frame 10).","* As a primitive element, this kanji takes the meaning of _sunflower_ , which was used to make the abstract key word _early_ more graphic."
旭,rising sun,"This character is a sort of nickname for the Japanese flag with its well-known emblem of the **rising sun**. If you can picture two seams running down that great red _sun_ , and then imagine it sitting on a _baseball_ bat for a flagpole, you have a slightly irreverent - but not altogether inaccurate - picture of how the sport has caught on in the Land of the **Rising Sun**.",
世,generation,"We generally consider one **generation** as a period of thirty (or _ten_ plus _ten_ plus _ten_ ) years. If you look at this kanji in its completed form - not in its stroke order - you will see three _tens_. When writing it, think of the lower horizontal lines as  ""addition"" lines written under numbers to add them up. Thus: _ten_ ""plus"" _ten_ ""plus"" _ten_ = thirty. Actually, it's a lot easier doing it with a pencil than reading it in a book.",
胃,stomach,"You will need to refer back to frames 13 and 14 here for the special meaning of the two primitive elements that make up this character: _flesh_ ( _part of the body_ ) and _brain_. What the kanji says, if you look at it, is that the _part of the body_ that keeps the _brain_ in working order is the **stomach**. To keep the elements in proper order, when you write this kanji think of the _brain_ as being  ""held up"" by the _flesh_.",
旦,nightbreak,"While we normally refer to the start of the day as ""daybreak,"" Japanese commonly refers to it as the ""opening up of night"" into day. Hence the choice of this rather odd key word, **nightbreak**. The single stroke at the bottom represents the _floor_ (have a peek again at frame 1) or the horizon over which the _sun_ is poking its head",
胆,gall bladder,"The pieces in this character should be easily recognizable: on the left, the element for _part of the body_ , and on the right, the character for _nightbreak_ , which we have just met. What all of this has to do with the **gall bladder** is not immediately clear. But all we need to do is give a slight twist to the traditional biblical advice about not letting the sun set on your anger (which ancient medicine associated with the choler or bile that the **gall bladder** is supposed to filter out), and change it to  ""not letting the _night break_ on your anger "" (or your **gall** ) - and the work of remembering the kanji is done. And the improvement is not a bad piece of advice in its own right, since anger, like so many other things, can often be calmed by letting the sun set on it and then ""sleeping it off.""",
亘,span,"Sunrise, sunset, sunrise, sunset... goes the song of the Fiddler on the Roof. You can almost see the journey of the sun as it moves from one horizon (the _floor_ ) to its noonday heights in the sky overhead ( _ceiling_ ) and then disappears over the other horizon - day after day, marking the **span** of our lives.",
凹,concave,"You couldn't have asked for a better key word for this kanji! Just have a look at it: a perfect image of a **concave** lens (remembering, of course, that the kanji square off rounded things), complete with its own little  ""cave."" Now all you have to do is learn how to write it.",
凸,convex,"Maybe this helps you see how the Japanese have no trouble keeping **convex** distinct from _concave_. Note the odd feeling of the third stroke. If it doesn't feel all that strange now, by the time you are done with this book, it will. There are very few times you will have to write it.",
旧,olden times,"A _walking stick_ is needed for _days_ of **olden times** , since _days_ , too, get old - at least insofar as we refer to them as the ""good old days."" The main thing here is to think of ""good old days"" when you hear the key word **olden times**. The rest will take care of itself.",
自,oneself,"You can think of this kanji as a stylized pictograph of the nose, that little _drop_ that Mother Nature set between your _eyes_. The Japanese refer to themselves by pointing a finger at their nose - giving us an easy way to remember the kanji for **oneself**.","* The same meaning of _oneself_ can be kept when this kanji is used as a primitive element, but you will generally find it better to give it the meaning of _nose_ or _nostrils_ , both because it accords with the story above and because it is the first part of the kanji for _nose_ (Frame 733)."
白,white,"The color **white** is a mixture of all the primary colors, both for pigments and for light, as we see when a prism breaks up the rays of the sun. Hence, a single _drop_ of _sun_ spells **white**.","* As a primitive, this character can either retain its meaning of _white_ or take the more graphic meaning of a _white bird_ or _dove_. This latter stems from the fact that it appears at the top of the kanji for _bird_ , which we shall get to later (Frame 2091)."
百,hundred,"The Japanese refer to a person's 99th birthday as a "" _white_ year "" because _white_ is the kanji you are left with if you subtract _one_ from a **hundred**.",
中,in,"The elements here are a _walking stick_ and a _mouth_. Remember the trouble your mother had getting medicine **in** your _mouth_? Chances are it crossed her mind more than once to grab something handy, like your grandfather's _walking stick_ , to pry open your jaws while she performed her duty. Keep the image of getting something **in** from the outside, and the otherwise abstract sense of this key word should be a lot easier than trying to spoon castor oil **in** to a baby's mouth.",
千,thousand,"This kanji is almost too simple to pull apart, but for the sake of practice, have a look at the _drop_ above and the _ten_ below. Now put the elements together by thinking of squeezing two more zeros out of an _eyedropper_ alongside the number _ten_ to make it a **thousand**.",
舌,tongue,"The primitive for _mouth_ and the character for _thousand_ naturally form the idea of **tongue** if one thinks of a _thousand mouths_ able to speak the same language, or as we say,  ""sharing a common **tongue**. "" It is easy to see the connection between the idiom and the kanji if you take its image literally: a single **tongue** being passed around from _mouth_ to _mouth_.",
升,measuring box,"This is the character for the little wooden box that the Japanese use for measuring things, as well as for drinking saké out of. Simply imagine the outside as spiked with a _thousand_ sharp _needles_ , and the quaint little **measuring box** becomes a drinker's nightmare! Be very careful when you write this character not to confuse it with the writing of _thousand_. The reason for the difference gives us a chance to clarify another general principle of writing that supersedes the one we mentioned in frame 4: when a single stroke runs vertically through the middle of a character, it is written last.",
昇,rise up,"Our image here is made up of two primitive elements: a _sun_ and a _measuring box_. Just as the _sun_ can be seen **rising up** in the morning from - where else - the Land of the Rising Sun, this kanji has the _sun_ **rising up** out of a Japanese _measuring box_  \- the "" _measuring box_ of the **rising-up** _sun_. """,
丸,round,"We speak of "" **round** numbers, "" or "" **rounding** a number off, "" meaning to add an insignificant amount to bring it to the nearest 10. For instance, if you add just a wee bit, the tiniest _drop_ , to _nine_ , you end up with a **round** number.","* As a primitive, this element takes the meaning of a _fat man_. Think of a grotesquely _fat man_ whose paunch so covers the plate that he is always getting hit by the pitch. Hence a _round baseball player_ becomes a _fat man_."
寸,measurement,"This kanji actually stood for a small **measurement** used prior to the metric system, a bit over an inch in length, and from there acquired the sense of **measurement**. In the old system, it was one- _tenth_ of a _shaku_ (whose kanji we shall meet in frame 1151). The picture, appropriately, represents one _drop_ of a _ten_  (with a hook!).","* As a primitive, we shall use this to mean _glue_ or _glued to_. There is no need to devise a story to remember this, since the primitive will appear so often you would have to struggle hard NOT to remember it."
肘,elbow,"Instead of the familiar ""grease"" we usually associate with the **elbow** of someone hard at work, the kanji gives us a _part of the body_ that has been _glued to_ its task.",
専,specialty,"_Ten_ . . . _rice fields_ . . . _glue_. That is how one would read the primitive elements of this kanji from top to bottom. Now if we make a simple sentence out of these elements, we get:  "" _Ten rice fields glued_ together. "" A **specialty** , of course, refers to one's special "" _field_ "" of endeavor or competence. In fact, few people remain content with a single **specialty** and usually extend themselves in other _fields_ as well. This is how we come to get the picture of _ten fields glued_ together to represent a **specialty**.",
博,Dr.,"At the left we have the _needle_ , at the right, the kanji for _specialty_ , plus an extra _drop_ at the top. Think of a **Dr.** who is a _specialist_ with a _needle_ (an acupuncturist) and let the _drop_ at the top represent the period at the end of **Dr.** In principle we are trying to avoid this kind of device, which plays on abstract grammatical conventions, but I think you will agree, after you have had occasion to use the right side of this kanji in forming other kanji, that the exception is merited in this case.",* The primitive form of this kanji eliminates the _needle_ on the left and gets the meaning of an _acupuncturist_.
占,fortune-telling,"This is one of those kanji that is a real joy of simplicity: a _divining rod_ with a _mouth_  \- which translate directly into **fortune-telling**. Note how the movement from top to bottom (the movement in which the kanji are written) is also the order of the elements which make up our story and of the key word itself: first _divining rod_ , then _mouth_. This will not always be possible, but where it is, memory has almost no work at all to do.",
上,above,"The two directions, **above** and below, are usually pointed at with the finger. But the characters do not follow that custom, so we have to choose something else, easily remembered. The primitives show a _magic wand_ standing **_above_** a _floor_  \- ""magically,"" you might say. Anyway, go right on to the next frame, since the two belong together and are best remembered as a unit, just as the words **above** and _below_ suggest each other.",
下,below,"Here we see our famous miraculous _magic wand_ hanging, all on its own, **below** the _ceiling_ , as you probably already guessed would happen. In addition to giving us two new kanji, the two shapes given in this and the preceding frame also serve to fix the use of the primitives for _ceiling_ and _floor_ , by drawing our attention successively to the line standing above and **below** the primitive element to which it is related.",
卓,eminent,The word **eminent** suggests a famous or well-known person. So all you need to do - given the primitives of a _magic wand_ and a _sunflower_  \- is to think of the world's most **eminent** magician as one who uses a _sunflower_ for a _magic wand_ (like a flower-child who goes around turning the world into peace and love).,
朝,morning,"On the right we see the _moon_ fading off into the first light of **morning** , and to the left, the _mist_ that falls to give nature a shower to prepare it for the coming heat. If you can think of the _moon_ tilting over to spill _mist_ on your garden, you should have no trouble remembering which of all the elements in this story are to serve as primitives for constructing the character.",
嘲,derision,"The bad feeling created by words spoken in **derision** often leaves a bad taste in the _mouth_ of the one who speaks them, kind of like the foul aftertaste that follows a night before of too much of the wrong stuff - or what we call _morning mouth_.",
只,only,"When we run across abstract key words like this one, the best way to get an image it to recall some common but suggestive phrase in which the word appears. For instance, we can think of the expression ""it's the **only** one of its kind. "" Then we imagine a barker at a side-show advertising some strange pac-manlike creature he has inside his tent, with only a gigantic _mouth_ and two wee _animal legs_.",
貝,shellfish,"To remember the primitive elements that make up this kanji, an _eye_ and _animal legs_ , you might be tempted to think of it as a pictograph of a **shellfish** with its ridged shell at the top and two little _legs_ sticking out of the bottom. But that might not help you recall later just how many ridges to put on the shell. Better to imagine a freakish **shellfish** with a single, gigantic _eye_ roaming the beaches on its slender little _legs_ , scaring the wits out of the sunbathers.","* When used as a primitive, in addition to _shells_ , the meanings _oyster_ and _clam_ will often come in handy."
唄,pop song,"There is a lot of money to be made of one's **songs** are  "" **pop** ular."" This is depicted here as a stream of _clams_ spewing out of the _mouth_ of someone performing a **pop song**.",
貞,upright,"Now take the last primitive, the _shellfish_ , and set a _magic wand_ over it, and you have the kanji for **upright**. After all, the _clam_ and the _oyster_ are incapable of walking **upright**. It would take a magician with his _wand_ to pull off such a feat - which is precisely what we have in this kanji.",
員,employee,"How do we get a _mouth_ over a _shellfish_ to mean an **employee**? Simple. Just remember the advice new **employees** get about keeping their _mouths_ shut and doing their job, and then make that more graphic by picturing an office building full of white collar workers scurrying around with _clams_ pinched to their _mouths_.",
貼,post a bill,"The key word in this frame has do with **posting bills** to a billboard. In this case, the billboard is standing at the exit to a Chinese restaurant displaying the latest alternative to the tradition _fortune-telling_ cookies. Look closely and you will see rows of leftover shells of _clams_ with little slips of paper sticking out of them **posted** to the billboard.",
見,see,"The elements that compose the character for **see** are the _eye_ firmly fixed to a pair of _human legs_. Surely, somewhere in your experience, there is a vivid image just waiting to be dragged up to help you remember this character....",
児,newborn babe,"The top part of the kanji in this frame, you will remember, is the character for _olden times_ , those _days_ so old they needed a _walking stick_ to get around. Western mythical imagination has old  ""Father Time"" leaning on his sickle with a **newborn babe** crawling around his _legs_ , the idea being that the circle of birth and-death goes on. This is the first of three times that the kanji for _olden times_ will appear as a primitive element in another kanji, so try to make the most of it.",
元,beginning,"In the **beginning**...  starts that marvelous shelf of books we call the Bible. It talks about how all things were made, and tells us that when the Creator came to humanity she made _two_ of them, man and woman. While we presume she made _two_ of every other animal as well, we are not told as much. Hence we need only   _two_ and a pair of _human legs_ come to the kanji that means **beginning**.",
頁,page,"What we have to do here is turn a _shellfish_ into a **page** of a book. The _one_ at the top tells us that we only get a rather short book, in fact only _one_ **page**. Imagine a title printed on the shell of an _oyster_ , let us say ""Pearl of Wisdom,"" and then open the quaint book to its _one_ and only **page** , on which you find a single, radiant _drop of_ wisdom, one of the masterpiece poems of nature.","* As a primitive, this kanji takes the unrelated meaning of a _head_ (preferably one detached from its body), derived from the character for _head_ (Frame 1549)."
頑,stubborn,"This character refers to the block _headed_ , persistent **stubbornness** of one who sticks to an idea or a plan just the way it was at the _beginning_ , without letting anything that comes up along the way alter things in the least. The explanation makes ""sense,"" but is hard to remember because the word "" _beginning_ ""is too abstract. Back up to the image we used two frames ago - Adam and Eve in their Eden - and try again: The root of all **stubbornness** goes back to the _beginning_ , with two brothers each **stubbornly** defending his own way of life and asking their God to bless it favorably. Abel stuck to agriculture, Cain to animal-raising. Picture these two with their giant, swelled _heads_ , each vying for the favors of heaven, a **stubborn** grimace on their faces. No wonder something unfortunate happened!",
凡,mediocre,"While we refer to something insignificant as a "" _drop_ in the bucket, "" the kanji for **mediocre** suggests the image of a  "" _drop_ in the _wind_. """,
負,defeat,"Above we have the condensed form of _bound up_ , and below the familiar _shellfish_. Now imagine two _oysters_ engaged in _shell_ -to- _shell_ combat, the one who is **defeated** being _bound and gagged_ with seaweed, the victor towering triumphantly over it. The _bound shellfish_ thus becomes the symbol for **defeat**.",
万,ten thousand,"Japanese counts higher numbers in units of **ten thousand** , unlike the West, which advances according to units of one thousand. (Thus, for instance, 40,000 would be read ""four **ten-thousands** "" by a Japanese.) Given that the comma is used in larger numbers to _bind up_ a numerical unit of one thousand, the elements for _one_ and _bound up_ naturally come to form **ten thousand**. The order of strokes here needs special attention, both because it falls outside the general principles we have learned already, and because it involves writing the element for _bound up_ in an order opposite to the one we learned. If it is any consolation, this exception is consistent every time these three strokes come together.",
句,phrase,"By combining the two primitives _bound up_ and _mouth_ , we can easily see how this character can get the meaning of a **phrase**. After all, a **phrase** is nothing more than a number of words _bound up_ tightly and neatly so that they will fit in your _mouth_.",
肌,texture,"Ever notice how the **texture** of your face and hands is affected by the _wind_? A day's skiing or sailing makes them rough and dry, and in need of a good soft cream to soothe the burn. So whenever a _part of the body_ gets exposed to the _wind_ , its **texture** is affected. (If it is any help, the Latin word hiding inside **texture** connotes how something is  ""to the touch."")",
旬,decameron,"There simply is not a good phrase in English for the block often days which this character represents. So we resurrect the classical phrase, **decameron** , whose connotations the tales of Boccaccio have done much to enrich. Actually, it refers to a journey of ten _days_ taken by a band of people - that is, a group of people _bound together_ for the _days_ of the **decameron**.",
勺,ladle,"If you want to _bind up drops_ of anything - water, soup, lemonade - you use something to scoop these _drops_ up, which is what we call a **ladle**. See the last _drop_ left inside the **ladle**?",
的,bull´s eye,"The elements _white bird_ and _ladle_ easily suggest the image of a **bull's eye** if you imagine a rusty old _ladle_ with a **bull's eye** painted on it in the form of a tiny _white bird_ , who lets out a little ""peep"" every time you hit the target.",
首,neck,"Reading this kanji from the top down, we have: _horns_ . . . _nose_. Together they bring to mind the picture of a moose-head hanging on the den wall, with its great _horns_ and long _nose_. Now while we would speak of cutting off a moose's  ""head"" to hang on the wall, the Japanese speak of cutting off its **neck**. It's all a matter of how you look at it. Anyway, if you let the word **neck** conjure up the image of a moose with a very l-o-n-g **neck** hanging over the fireplace, whose _horns_ you use for a coat-rack and whose _nose_ has spigots left and right for scotch and water, you should have no trouble with the character. Here we get a good look at what we mentioned when we first introduced the element for _horns_ : that they can never be left floating free and require an extra horizontal stroke to prevent that from happening, as is the case here.",
乙,fish guts,"The kanji shown here actually represents the ""second"" position in the old Chinese zodiac, which the Japanese still use as an alternate way of enumeration, much the same way that English will revert to Roman numerals. Among its many other meanings are ""pure,"" ""tasteful,"" ""quaint,"" and - get this! - **fish guts**. Since it is a pictograph of a fishhook, it should not be hard to associate it with the key word.","* We will keep _fishhook_ as the primitive meaning. Its shape will rarely be quite the same as that of the kanji. When it appears at the bottom of another primitive, it is straightened out, almost as if the weight of the upper element had bent it out of shape. And when it appears to the right of another element, the short horizontal line that gets the shape started is omitted and it is stretched out and narrowed, all for reasons of space and aesthetics. Examples follow."
乱,riot,"In a **riot** , manners are laid aside and tempers get short, even in so courtesy-conscious a land as Japan. This kanji shows what happens to a **rioting** _tongue_ : it gets ""barbed"" like a _fishhook_ , and sets to attacking the opposition, to _hook_ them as it were.",
直,straightaway,"Begin with the top two primitives, _needle_ and _eye_. Together they represent the _eye of a needle_. Below them is a _fishhook_ that has been **straightened out** and its barb removed so that it can pass through the _eye of the needle_.",
具,tool,"Here is the full kanji on which the last frame is based. If you can think of a table full of carpenter's **tools** of all sorts, each equipped with its own _eye_ so that it can keep a watch over what you are doing with it, you won't have trouble later keeping the primitive and the kanji apart.",
真,TRUE,"Here again we meet the composite element, _eye of the needle_ , which here combines with _tool_ to give us a measure of what is **true** and what is not.",
工,craft,"The pictograph of an I beam, like the kind used in heavy construction work on buildings and bridges, gives us the character for **craft** in general.","* As a primitive element, the key word retains the meaning of _craft_ and also takes on the related meanings of _I beam_ and _artificial_."
左,left,"By combining the primitive and the kanji of the last two frames and reading the results, we get: _by one's side_ . . . _craft_. Conveniently, the **left** has traditionally been considered the  ""sinister"" _side_ , where dark and occult _crafts_ are cultivated. Note how the second stroke droops over to the **left** and is longer than the first.",
右,right,"When thinking of the key word **right** , in order to avoid confusion with the previous frame, take advantage of the double meaning here, too. Imagine a little _mouth_ hanging down by your _side_  \- like a little voice of conscience - telling you the **right** thing to do. Here the second stroke should reach out to the **right** and be drawn slightly longer than the first.",
有,possess,"The picture here is of someone with a slab of _meat_ dangling _by the side_ , perhaps from a belt or rope tied around the waist. Think of it as an evil spirit in **possession** of one's soul, who can be exorcized only by allowing fresh _meat_ to hang _by one's side_ until it begins to putrefy and stink so bad that the demon departs. Take careful note of the stroke order.",
賄,bribe,"To the left we have the primitive for a _shellfish_ , and to the right the kanji we just learned for _possess_. Keep the connotation of the last frame for the word _possess_ , and now expand your image of _shells_ to include the ancient value they had as money (a usage that will come in very helpful later on). Now one who is _possessed_ by _shells_ is likely to abandon any higher principles to acquire more and more wealth. These are the easiest ones to **bribe** with a few extra _shells_.",
貢,tribute,A **tribute** has a kind of double-meaning in English: honor paid freely and _money_ collected by coercion. Simply because a ruler bestows a noble name on a deed is hardly any consolation to the masses who must part with their hard- earned _money_. Little wonder that this ancient _craft_ of getting _money_ by calling it a **tribute** has given way to a name closer to how it feels to those who pay it: a tax.,
項,paragraph,"To the right we see a _head_ and to the left an element that means _craft_. When we think of a **paragraph** , we immediately think of a _heading_ device to break a text into parts. (Think of the elaborate _heads_ often seen at the start of medieval manuscripts and the task becomes easier still.) Just where and how to do it belongs to the writer's _craft_. Hence, we define **paragraphing** as the  "" _heading craft_ "" to remember this character.",
刀,sword,"Although this character no longer looks very much like a **sword** , it does have some resemblance to the handle of the **sword**. This is to our advantage, in that it helps us keep make a distinction between two primitive elements based on this kanji.","* In the form of the kanji, this primitive means a _dagger_. When it appears to the right of another element, it is commonly stretched out and takes the sense of a great and flashing _saber_ , a meaning it gets from a character we shall learn later (Frame 1801)."
刃,blade,"Think of using a _dagger_ as a razor **blade** , and it shouldn't be hard to imagine cutting yourself. See the little _drop of_ blood clinging to the **blade**?",
切,cut,"To the right we see the _dagger_ and next to it the number _seven_ whose primitive meaning we decided would be _diced_ (Frame 7). It is hard to think of **cutting** anything with a knife without imagining one of those skillful Japanese chefs. Only let us say that he has had too much to drink at a party, grabs a _dagger_ lying on the mantelpiece and starts _dicing_ up everything insight, starting with the hors d'oeuvres and going on to the furniture and the carpets....",
召,seduce,"A _sword_ or _dagger_ posed over a _mouth_ is how the character for ""beckoning"" is written. The related but less tame key word **seduce** was chosen because it seemed to fit better with the - how shall we put it? - Freudian implications of the kanji. (Observe if you will that it is not sure whether the long slender object is **seducing** the small round one or vice versa.)",* The primitive meaning remains the same: _seduce_. Just be sure to associate it with a very concrete image.
昭,shining,"Let the key word suggest **shining** one's shoes, the purpose of which is to _seduce_ the _sun_ down on them for all to see.",
則,rule,"The character depicts a _clam_ alongside a great and flashing _saber_. Think of digging for _clams_ in an area where there are gaming **rules** governing how large a find has to be before you can keep it. So you take your trusty _saber_ , which you have carefully notched like a yardstick, crack open a _clam_ and then measure the poor little beastie to see if it is as long as the **rules** say it has to be.",
副,vice-,"The key word **vice** has the sense of someone second-in-command. The great and flashing _saber_ to the right (its usual location, so you need not worry about where to put it from now on) and the _wealth_ on the left combine to create an image of dividing one's property to give a share to one's **vice** - _wealth_ holder.",
別,separate,"In the Old East, the samurai and his _saber_ were never **separated**. They were constant companions, like the cowboy of the Old West and his six-shooter. This character depicts what must have been the height of **separation** -anxiety for a samurai: to be _bound up with a rope_ and unable to get at his _saber_ leaning only a few feet away from him. Look at that _mouth_ bellowing out for shame and sorrow! Note the order in which the element for _tied up_ is written - just as it had been with the character for _ten thousand_.",
丁,street,"The picture here is of a **street** sign on a long pole: Hollywood and Vine, if you please, or any _street_ that immediately conjure sup the image of a **street** sign to you.","* Used as a primitive, we change the meaning of the key word and take the shape to signify a _nail_ or a _spike_. Should it happen, on reviewing, that you find the pictographs get jumbled, then think of jerking a _street_ sign out of the ground and using it as a _nail_ to repair your garage roof."
町,village,"_Street_ signs standing at the corner of the _rice fields_ depict the **village** limits. (Remember what was said earlier: when used as a primitive, a kanji may either take its primitive meaning or revert to the original meaning of its key word.)",
可,can,"Remember the story about the ""Little Engine that **Could** "" when you hear this key word, and the rest is simple. See the determined little locomotive huffing and puffing up the mountain - ""I think I **can** , I think I **can**.... "" \- spitting railroad _spikes_ out of its _mouth_ as it chews up the line to the top.",
